Identificação;Nome;Sexo;Data Nascimento;Nota 1º Trim;Nota 2º Trim;Nota 3º Trim
151617;Antônio Fernandes;M;06/08/1997;30.0;30.0;32.0
515253;Eliza Lage;F;19/04/1996;29.0;32.0;34.0
303132;Fernanda Lopes;F;30/09/1995;23.0;34.0;31.0
333435;Gabriel Pereira;M;01/05/1998;14.0;22.0;30.0
484950;Ivan Nunes;M;04/09/1993;25.0;29.0;27.0
242526;Janaina Gomes;F;12/06/1989;21.0;18.0;25.0
121314;Joana Aguiar;F;06/07/1990;25.0;20.0;15.0
789101;João dos Santos;M;05/04/1991;20.0;20.0;25.0
363738;Larissa Diniz;F;22/11/1994;20.0;25.0;29.0
212223;Leonardo Martins;M;23/09/1990;10.0;13.0;15.0
424344;Letí­cia Rodrigues;F;14/08/1990;27.0;29.0;33.0
123456;Maria da Silva;F;04/08/1995;15.0;30.0;30.0
454647;Marina Azevedo;F;03/12/1994;11.0;29.0;23.0
272829;Nelson Garcia;M;23/03/1993;18.0;28.0;25.0
545556;Otavio Mendonça;M;17/09/1994;19.0;22.0;27.0
181920;Priscila Mendes;F;25/05/1993;30.0;35.0;35.0
394041;Rodolfo Maia;M;11/07/1999;30.0;35.0;34.0
575859;Silvana Andrade;F;25/10/1997;30.0;35.0;35.0
;;;;;;
;;;;;;
